DATE,AUINSA
1/1/2007,1112.2
2/1/2007,1084.9
3/1/2007,1087.8
4/1/2007,1082.7
5/1/2007,1057
6/1/2007,1068.6
7/1/2007,1108.5
8/1/2007,1096.3
9/1/2007,1070.6
10/1/2007,1058.6
11/1/2007,1021.8
12/1/2007,985.3
1/1/2008,954.1
2/1/2008,949.2
3/1/2008,947.3
4/1/2008,946.9
5/1/2008,908
6/1/2008,908.5
7/1/2008,976.2
8/1/2008,1010.9
9/1/2008,1046.6
10/1/2008,1132.1
11/1/2008,1196.5
12/1/2008,1215.5
1/1/2009,1122.3
2/1/2009,1053.8
3/1/2009,1034.6
4/1/2009,1009.6
5/1/2009,960.1
6/1/2009,904.9
7/1/2009,823.9
8/1/2009,664.5
9/1/2009,717.2
10/1/2009,742.2
11/1/2009,748.9
12/1/2009,733.2
1/1/2010,743
2/1/2010,784.9
3/1/2010,779.5
4/1/2010,784.5
5/1/2010,805.3
6/1/2010,808.8
7/1/2010,814.6
8/1/2010,830.1
9/1/2010,842.1
10/1/2010,841.6
11/1/2010,843.9
12/1/2010,796.7
1/1/2011,794.6
2/1/2011,766.7
3/1/2011,737.5
4/1/2011,699.6
5/1/2011,695
6/1/2011,710.8
7/1/2011,721.3
8/1/2011,739.2
9/1/2011,733.5
10/1/2011,750.8
11/1/2011,775.6
12/1/2011,806.7
1/1/2012,859.6
2/1/2012,852.7
3/1/2012,852.2
4/1/2012,877.3
5/1/2012,905.7
6/1/2012,931.5
7/1/2012,999.3
8/1/2012,1014.7
9/1/2012,1020.6
10/1/2012,1040.9
11/1/2012,1056.8
12/1/2012,1067.8
1/1/2013,1074.6
2/1/2013,1077.1
3/1/2013,1105.5
4/1/2013,1125.9
5/1/2013,1149.2
6/1/2013,1163.4
7/1/2013,1119.5
8/1/2013,1147.1
9/1/2013,1166.8
10/1/2013,1198.1
11/1/2013,1211.2
12/1/2013,1231
1/1/2014,1248.2
2/1/2014,1281.4
3/1/2014,1277.3
4/1/2014,1250.1
5/1/2014,1227
6/1/2014,1223.3
7/1/2014,1263.7
8/1/2014,1242.5
9/1/2014,1230.3
10/1/2014,1222.3
11/1/2014,1230.2
12/1/2014,1218
1/1/2015,1222.9
2/1/2015,1244.2
3/1/2015,1232.7
4/1/2015,1241
5/1/2015,1250.3
6/1/2015,1232
7/1/2015,1248.6
8/1/2015,1245.2
9/1/2015,1230.8
10/1/2015,1185.8
11/1/2015,1167
12/1/2015,1156
1/1/2016,1131.5
2/1/2016,1118.1
3/1/2016,1120.9
4/1/2016,1120.5
5/1/2016,1104.7
6/1/2016,1119
7/1/2016,1142.9
8/1/2016,1152.2
9/1/2016,1162
10/1/2016,1157.2
11/1/2016,1177.3
12/1/2016,1156.8
1/1/2017,1150.759
2/1/2017,1134.605
3/1/2017,1147.229
4/1/2017,1158.563
5/1/2017,1170.64
6/1/2017,1158.626
7/1/2017,1109.028
8/1/2017,1073.009
9/1/2017,1015.979
10/1/2017,962.04
11/1/2017,941.417
12/1/2017,923.836
1/1/2018,880.69
2/1/2018,873.344
3/1/2018,896.643
4/1/2018,884.936
5/1/2018,903.942
6/1/2018,885.167
7/1/2018,873.147
8/1/2018,822.033
9/1/2018,783.748
10/1/2018,753.344
11/1/2018,757.239
12/1/2018,769.161
1/1/2019,742.853
2/1/2019,733.512
3/1/2019,681.575
4/1/2019,711.518
5/1/2019,681.692
6/1/2019,698.944
7/1/2019,676.423
8/1/2019,652.645
9/1/2019,653.447
10/1/2019,606.391
11/1/2019,583.427
12/1/2019,539.679
1/1/2020,532.203
2/1/2020,533.072
3/1/2020,567.131
4/1/2020,543.253
5/1/2020,450.884
6/1/2020,443.044
7/1/2020,498.276
8/1/2020,507.019
9/1/2020,512.265
10/1/2020,520.769
11/1/2020,510.274
12/1/2020,477.567
1/1/2021,461.074
2/1/2021,428.54
3/1/2021,360.172
4/1/2021,301.759
5/1/2021,243.811
6/1/2021,191.654
7/1/2021,142.527
8/1/2021,122.66
9/1/2021,86.95
10/1/2021,91.797
11/1/2021,80.95
12/1/2021,86.482
1/1/2022,75.879
2/1/2022,73.407
3/1/2022,78.177
4/1/2022,82.501
5/1/2022,79.081
6/1/2022,90.393
7/1/2022,82.228
8/1/2022,100.493
9/1/2022,113.139
10/1/2022,110.796
11/1/2022,114.131
12/1/2022,118.082
1/1/2023,114.009
2/1/2023,118.128
3/1/2023,125.623
4/1/2023,136.34
5/1/2023,140.096
6/1/2023,155.363
7/1/2023,149.699
8/1/2023,181.954
9/1/2023,208.441
10/1/2023,212.209
