DATE,DAUPSA
1/1/2007,340.5
2/1/2007,324.3
3/1/2007,313.6
4/1/2007,323.8
5/1/2007,313.1
6/1/2007,336.7
7/1/2007,346
8/1/2007,312.6
9/1/2007,293.6
10/1/2007,310.2
11/1/2007,317.7
12/1/2007,333.3
1/1/2008,328.6
2/1/2008,320.6
3/1/2008,327.5
4/1/2008,295.4
5/1/2008,295.2
6/1/2008,312.4
7/1/2008,375.4
8/1/2008,330.8
9/1/2008,320.6
10/1/2008,305.2
11/1/2008,270.9
12/1/2008,239.2
1/1/2009,107.5
2/1/2009,135.4
3/1/2009,154
4/1/2009,152.8
5/1/2009,148.6
6/1/2009,148.3
7/1/2009,188.6
8/1/2009,210.7
9/1/2009,239.8
10/1/2009,243.8
11/1/2009,228.7
12/1/2009,236.1
1/1/2010,231.5
2/1/2010,232.1
3/1/2010,224
4/1/2010,224.4
5/1/2010,251
6/1/2010,230.3
7/1/2010,234.5
8/1/2010,223.9
9/1/2010,222
10/1/2010,219
11/1/2010,221.7
12/1/2010,203.9
1/1/2011,198.9
2/1/2011,229.3
3/1/2011,240.3
4/1/2011,217.1
5/1/2011,230.2
6/1/2011,224.7
7/1/2011,227.9
8/1/2011,257.7
9/1/2011,246.5
10/1/2011,283.6
11/1/2011,284.2
12/1/2011,306.3
1/1/2012,327.1
2/1/2012,328.3
3/1/2012,324.3
4/1/2012,345.2
5/1/2012,343.1
6/1/2012,343
7/1/2012,361.4
8/1/2012,340.3
9/1/2012,343.8
10/1/2012,344.6
11/1/2012,353.5
12/1/2012,342.6
1/1/2013,365.2
2/1/2013,364.6
3/1/2013,379.7
4/1/2013,363.1
5/1/2013,365.7
6/1/2013,375.2
7/1/2013,312.6
8/1/2013,357
9/1/2013,372.3
10/1/2013,361.6
11/1/2013,367
12/1/2013,368.9
1/1/2014,352.3
2/1/2014,359.6
3/1/2014,347.3
4/1/2014,332.2
5/1/2014,331.6
6/1/2014,366.5
7/1/2014,382.3
8/1/2014,355.6
9/1/2014,354.1
10/1/2014,336.9
11/1/2014,367.8
12/1/2014,370.3
1/1/2015,355.9
2/1/2015,320.6
3/1/2015,353.9
4/1/2015,353.9
5/1/2015,374
6/1/2015,340.5
7/1/2015,395.1
8/1/2015,348.1
9/1/2015,343.8
10/1/2015,339.4
11/1/2015,318.1
12/1/2015,318.6
1/1/2016,333.9
2/1/2016,330.4
3/1/2016,328
4/1/2016,321.6
5/1/2016,311.5
6/1/2016,346.1
7/1/2016,329.5
8/1/2016,332.4
9/1/2016,327.3
10/1/2016,314.4
11/1/2016,312.7
12/1/2016,297.8
1/1/2017,279.3
2/1/2017,278.1
3/1/2017,264.1
4/1/2017,287.9
5/1/2017,283.7
6/1/2017,257.2
7/1/2017,212.1
8/1/2017,252.9
9/1/2017,225.1
10/1/2017,225.8
11/1/2017,222.1
12/1/2017,219.9
1/1/2018,217.8
2/1/2018,246.3
3/1/2018,259.3
4/1/2018,249.4
5/1/2018,233.1
6/1/2018,226.1
7/1/2018,195
8/1/2018,212.2
9/1/2018,226.9
10/1/2018,232.9
11/1/2018,233
12/1/2018,253
1/1/2019,232.5
2/1/2019,219.5
3/1/2019,210
4/1/2019,205
5/1/2019,213.7
6/1/2019,212.1
7/1/2019,205.1
8/1/2019,212.4
9/1/2019,198.5
10/1/2019,180.7
11/1/2019,212.1
12/1/2019,206
1/1/2020,217.3
2/1/2020,222.2
3/1/2020,143.3
4/1/2020,1.7
5/1/2020,48.2
6/1/2020,141.3
7/1/2020,209.3
8/1/2020,193.8
9/1/2020,190.6
10/1/2020,182.2
11/1/2020,180.2
12/1/2020,172.5
1/1/2021,180.9
2/1/2021,145
3/1/2021,125.8
4/1/2021,133.2
5/1/2021,129.9
6/1/2021,123.8
7/1/2021,135.7
8/1/2021,121.2
9/1/2021,84.1
10/1/2021,124.2
11/1/2021,132.7
12/1/2021,140.2
1/1/2022,131.4
2/1/2022,128.8
3/1/2022,136.6
4/1/2022,142.1
5/1/2022,139.5
6/1/2022,143.2
7/1/2022,140.7
8/1/2022,154
9/1/2022,152.3
10/1/2022,149
11/1/2022,141
12/1/2022,135
1/1/2023,141.9
2/1/2023,147.5
3/1/2023,152.8
4/1/2023,152.1
5/1/2023,145.8
6/1/2023,143.6
7/1/2023,148.9
8/1/2023,160.1
9/1/2023,152.8
10/1/2023,134.4
