DATE,T30YIEM
2/1/2010,2.46
3/1/2010,2.49
4/1/2010,2.64
5/1/2010,2.46
6/1/2010,2.36
7/1/2010,2.12
8/1/2010,2.04
9/1/2010,2.11
10/1/2010,2.43
11/1/2010,2.58
12/1/2010,2.53
1/1/2011,2.55
2/1/2011,2.52
3/1/2011,2.62
4/1/2011,2.71
5/1/2011,2.52
6/1/2011,2.45
7/1/2011,2.65
8/1/2011,2.55
9/1/2011,2.16
10/1/2011,2.14
11/1/2011,2.24
12/1/2011,2.2
1/1/2012,2.29
2/1/2012,2.39
3/1/2012,2.41
4/1/2012,2.39
5/1/2012,2.25
6/1/2012,2.2
7/1/2012,2.2
8/1/2012,2.3
9/1/2012,2.44
10/1/2012,2.49
11/1/2012,2.45
12/1/2012,2.55
1/1/2013,2.6
2/1/2013,2.6
3/1/2013,2.54
4/1/2013,2.45
5/1/2013,2.39
6/1/2013,2.19
7/1/2013,2.27
8/1/2013,2.32
9/1/2013,2.29
10/1/2013,2.31
11/1/2013,2.29
12/1/2013,2.28
1/1/2014,2.33
2/1/2014,2.26
3/1/2014,2.29
4/1/2014,2.29
5/1/2014,2.31
6/1/2014,2.31
7/1/2014,2.35
8/1/2014,2.3
9/1/2014,2.21
10/1/2014,2.08
11/1/2014,2.05
12/1/2014,1.94
1/1/2015,1.8
2/1/2015,1.84
3/1/2015,1.9
4/1/2015,1.94
5/1/2015,2
6/1/2015,1.98
7/1/2015,1.96
8/1/2015,1.78
9/1/2015,1.71
10/1/2015,1.67
11/1/2015,1.78
12/1/2015,1.71
1/1/2016,1.6
2/1/2016,1.53
3/1/2016,1.69
4/1/2016,1.76
5/1/2016,1.77
6/1/2016,1.63
7/1/2016,1.62
8/1/2016,1.64
9/1/2016,1.71
10/1/2016,1.81
11/1/2016,2
12/1/2016,2.07
1/1/2017,2.1
2/1/2017,2.1
3/1/2017,2.09
4/1/2017,2.03
5/1/2017,1.97
6/1/2017,1.87
7/1/2017,1.87
8/1/2017,1.87
9/1/2017,1.91
10/1/2017,1.94
11/1/2017,1.93
12/1/2017,1.97
1/1/2018,2.08
2/1/2018,2.14
3/1/2018,2.1
4/1/2018,2.14
5/1/2018,2.15
6/1/2018,2.12
7/1/2018,2.13
8/1/2018,2.12
9/1/2018,2.15
10/1/2018,2.13
11/1/2018,2.06
12/1/2018,1.91
1/1/2019,1.85
2/1/2019,1.92
3/1/2019,1.96
4/1/2019,1.97
5/1/2019,1.9
6/1/2019,1.78
7/1/2019,1.8
8/1/2019,1.63
9/1/2019,1.65
10/1/2019,1.64
11/1/2019,1.74
12/1/2019,1.78
1/1/2020,1.79
2/1/2020,1.68
3/1/2020,1.29
4/1/2020,1.39
5/1/2020,1.46
6/1/2020,1.55
7/1/2020,1.6
8/1/2020,1.71
9/1/2020,1.76
10/1/2020,1.86
11/1/2020,1.88
12/1/2020,2
1/1/2021,2.1
2/1/2021,2.14
3/1/2021,2.23
4/1/2021,2.25
5/1/2021,2.33
6/1/2021,2.29
7/1/2021,2.23
8/1/2021,2.23
9/1/2021,2.24
10/1/2021,2.35
11/1/2021,2.38
12/1/2021,2.27
1/1/2022,2.24
2/1/2022,2.18
3/1/2022,2.49
4/1/2022,2.55
5/1/2022,2.47
6/1/2022,2.47
7/1/2022,2.22
8/1/2022,2.29
9/1/2022,2.27
10/1/2022,2.33
11/1/2022,2.4
12/1/2022,2.26
1/1/2023,2.24
2/1/2023,2.29
3/1/2023,2.26
4/1/2023,2.23
5/1/2023,2.26
6/1/2023,2.23
7/1/2023,2.27
8/1/2023,2.31
9/1/2023,2.34
10/1/2023,2.47
11/1/2023,2.4
