DATE,RIFLPBCIANM60NM
8/1/2006,7.82
9/1/2006,.
10/1/2006,.
11/1/2006,7.78
12/1/2006,.
1/1/2007,.
2/1/2007,7.71
3/1/2007,.
4/1/2007,.
5/1/2007,7.78
6/1/2007,.
7/1/2007,.
8/1/2007,7.77
9/1/2007,.
10/1/2007,.
11/1/2007,7.6
12/1/2007,.
1/1/2008,.
2/1/2008,7.18
3/1/2008,.
4/1/2008,.
5/1/2008,6.93
6/1/2008,.
7/1/2008,.
8/1/2008,6.94
9/1/2008,.
10/1/2008,.
11/1/2008,7.12
12/1/2008,.
1/1/2009,.
2/1/2009,6.96
3/1/2009,.
4/1/2009,.
5/1/2009,6.93
6/1/2009,.
7/1/2009,.
8/1/2009,6.71
9/1/2009,.
10/1/2009,.
11/1/2009,6.59
12/1/2009,.
1/1/2010,.
2/1/2010,6.45
3/1/2010,.
4/1/2010,.
5/1/2010,6.38
6/1/2010,.
7/1/2010,.
8/1/2010,6.23
9/1/2010,.
10/1/2010,.
11/1/2010,6.05
12/1/2010,.
1/1/2011,.
2/1/2011,6.1
3/1/2011,.
4/1/2011,.
5/1/2011,5.83
6/1/2011,.
7/1/2011,.
8/1/2011,5.62
9/1/2011,.
10/1/2011,.
11/1/2011,5.25
12/1/2011,.
1/1/2012,.
2/1/2012,5.02
3/1/2012,.
4/1/2012,.
5/1/2012,4.87
6/1/2012,.
7/1/2012,.
8/1/2012,4.75
9/1/2012,.
10/1/2012,.
11/1/2012,4.64
12/1/2012,.
1/1/2013,.
2/1/2013,4.6
3/1/2013,.
4/1/2013,.
5/1/2013,4.34
6/1/2013,.
7/1/2013,.
8/1/2013,4.38
9/1/2013,.
10/1/2013,.
11/1/2013,4.52
12/1/2013,.
1/1/2014,.
2/1/2014,4.37
3/1/2014,.
4/1/2014,.
5/1/2014,4.46
6/1/2014,.
7/1/2014,.
8/1/2014,4.11
9/1/2014,.
10/1/2014,.
11/1/2014,4.07
12/1/2014,.
1/1/2015,.
2/1/2015,4.27
3/1/2015,.
4/1/2015,.
5/1/2015,4.21
6/1/2015,.
7/1/2015,.
8/1/2015,4.25
9/1/2015,.
10/1/2015,.
11/1/2015,4.05
12/1/2015,.
1/1/2016,.
2/1/2016,4.11
3/1/2016,.
4/1/2016,.
5/1/2016,4.15
6/1/2016,.
7/1/2016,.
8/1/2016,4.25
9/1/2016,.
10/1/2016,.
11/1/2016,4.05
12/1/2016,.
1/1/2017,.
2/1/2017,4.21
3/1/2017,.
4/1/2017,.
5/1/2017,4.24
6/1/2017,.
7/1/2017,.
8/1/2017,4.36
9/1/2017,.
10/1/2017,.
11/1/2017,4.51
12/1/2017,.
1/1/2018,.
2/1/2018,4.75
3/1/2018,.
4/1/2018,.
5/1/2018,4.99
6/1/2018,.
7/1/2018,.
8/1/2018,4.96
9/1/2018,.
10/1/2018,.
11/1/2018,5.36
12/1/2018,.
1/1/2019,.
2/1/2019,5.24
3/1/2019,.
4/1/2019,.
5/1/2019,5.36
6/1/2019,.
7/1/2019,.
8/1/2019,5.27
9/1/2019,.
10/1/2019,.
11/1/2019,5.37
12/1/2019,.
1/1/2020,.
2/1/2020,5.15
3/1/2020,.
4/1/2020,.
5/1/2020,5.14
6/1/2020,.
7/1/2020,.
8/1/2020,4.98
9/1/2020,.
10/1/2020,.
11/1/2020,4.8
12/1/2020,.
1/1/2021,.
2/1/2021,4.96
3/1/2021,.
4/1/2021,.
5/1/2021,5.05
6/1/2021,.
7/1/2021,.
8/1/2021,4.6
9/1/2021,.
10/1/2021,.
11/1/2021,4.67
12/1/2021,.
1/1/2022,.
2/1/2022,4.52
3/1/2022,.
4/1/2022,.
5/1/2022,4.85
6/1/2022,.
7/1/2022,.
8/1/2022,5.5
9/1/2022,.
10/1/2022,.
11/1/2022,6.55
12/1/2022,.
1/1/2023,.
2/1/2023,7.48
3/1/2023,.
4/1/2023,.
5/1/2023,7.81
6/1/2023,.
7/1/2023,.
8/1/2023,7.88
